id;Latex;English 1;English 2;English 3
793;F(x, \zeta) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(\gamma,\delta) d\epsilon d\zeta;F of x, zeta equals the double integral from zeta to eta of f of gamma, delta with respect to eflon and zeta.;The function F at x, zeta is the double integral over the range from zeta to eta of the function f at gamma, delta, integrated first with respect to eflon and then with respect to zeta.;F at x, zeta is given by the double integral from zeta to eta of f at gamma, delta, differentiating first with respect to eflon and then with respect to zeta.
794;F(b, x) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(y,\delta) d\epsilon d\zeta;F of b, x equals the double integral from zeta to eta of f of y, delta with respect to epsilon and zeta.;The function F at b, x is the double integral over the range from zeta to eta of the function f at y, delta, integrated first with respect to epsilon and then with respect to zeta.;F at b, x is given by the double integral from zeta to eta of f at y, delta, differentiating first with respect to epsilon and then with respect to zeta.
795;F(x, \zeta) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(\zeta,\delta) d\epsilon d\zeta;F of x, zeta equals the double integral from zeta to eta of f of zeta, delta with respect to epsilon and zeta.;The function F at x, zeta is the double integral over the range from zeta to eta of the function f at zeta, delta, integrated first with respect to epsilon and then with respect to zeta.;F at x, zeta is given by the double integral from zeta to eta of f at zeta, delta, differentiating first with respect to epsilon and then with respect to zeta.
796;F(a, x) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(\epsilon,\delta) d\epsilon d\zeta;F of a, x equals the double integral from zeta to eta of f of epsilon, delta with respect to ehlon and zeta.;The function F at a, x is the double integral over the range from zeta to eta of the function f at epsilon, delta, integrated first with respect to ehlon and then with respect to zeta.;F at a, x is given by the double integral from zeta to eta of f at epsilon, delta, differentiating first with respect to ehlon and then with respect to zeta.
797;F(\alpha, a) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(\alpha,\delta) d\epsilon d\zeta;F of alpha, a equals the double integral from zeta to eta of f of alpha, delta with respect to eglon and zeta.;The function F at alpha, a is the double integral over the range from zeta to eta of the function f at alpha, delta, integrated first with respect to eglon and then with respect to zeta.;F at alpha, a is given by the double integral from zeta to eta of f at alpha, delta, differentiating first with respect to eglon and then with respect to zeta.
798;F(c, z) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(\delta,\delta) d\epsilon d\zeta;F of c, z equals the double integral from zeta to eta of f of delta, delta with respect to epsilon and zeta.;The function F at c, z is the double integral over the range from zeta to eta of the function f at delta, delta, integrated first with respect to epsilon and then with respect to zeta.;F at c, z is given by the double integral from zeta to eta of f at delta, delta, differentiating first with respect to epsilon and then with respect to zeta.
799;F(z, \epsilon) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(\delta,\delta) d\epsilon d\zeta;F of z, epsilon equals the double integral from zeta to eta of f of delta, delta with respect to eglon and zeta.;The function F at z, epsilon is the double integral over the range from zeta to eta of the function f at delta, delta, integrated first with respect to eglon and then with respect to zeta.;F at z, epsilon is given by the double integral from zeta to eta of f at delta, delta, differentiating first with respect to eglon and then with respect to zeta.
800;F(\alpha, y) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(\beta,\delta) d\epsilon d\zeta;F of alpha, y equals the double integral from zeta to eta of f of beta, delta with respect to epsilon and zeta.;The function F at alpha, y is the double integral over the range from zeta to eta of the function f at beta, delta, integrated first with respect to epsilon and then with respect to zeta.;F at alpha, y is given by the double integral from zeta to eta of f at beta, delta, differentiating first with respect to epsilon and then with respect to zeta.
801;F(\epsilon, z) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(\alpha,\delta) d\epsilon d\zeta;F of epsilon, z equals the double integral from zeta to eta of f of alpha, delta with respect to eglon and zeta.;The function F at epsilon, z is the double integral over the range from zeta to eta of the function f at alpha, delta, integrated first with respect to eglon and then with respect to zeta.;F at epsilon, z is given by the double integral from zeta to eta of f at alpha, delta, differentiating first with respect to eglon and then with respect to zeta.
802;F(\alpha, \alpha) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(\alpha,\delta) d\epsilon d\zeta;F of alpha, alpha equals the double integral from zeta to eta of f of alpha, delta with respect to ehlon and zeta.;The function F at alpha, alpha is the double integral over the range from zeta to eta of the function f at alpha, delta, integrated first with respect to ehlon and then with respect to zeta.;F at alpha, alpha is given by the double integral from zeta to eta of f at alpha, delta, differentiating first with respect to ehlon and then with respect to zeta.
803;[153,304,9507] \times [507,172,852];The cross product of the vectors 153, 304, 926 and 507, 172, 852.;The vector 153, 304, 926 crossed with the vector 507, 172, 852.;The cross product of the vectors with components 153, 304, 926 and those with components 507, 172, 852.
804;[595,663,146] \times [655,604,9];The cross product of the vectors 595, 663, 146 and 655, 604, 9.;The vector 595, 663, 146 crossed with the vector 655, 604, 9.;The cross product of the vectors with components 595, 663, 146 and those with components 655, 604, 9.
805;[449,94,943] \times [133,880,64];The cross product of the vectors 449, 94, 943 and 133, 880, 64.;The vector 449, 94, 943 crossed with the vector 133, 880, 64.;The cross product of the vectors with components 449, 94, 943 and those with components 133, 880, 64.
806;[365,74,404] \times [668,107,519];The cross product of the vectors 365, 74, 404 and 668, 107, 519.;The vector 365, 74, 404 crossed with the vector 668, 107, 519.;The cross product of the vectors with components 365, 74, 404 and those with components 668, 107, 519.
807;[479,844,103] \times [899,59,180];The cross product of the vectors 479, 844, 103 and 899, 59, 180.;The vector 479, 844, 103 crossed with the vector 899, 59, 180.;The cross product of the vectors with components 479, 844, 103 and those with components 899, 59, 180.
808;[372,170,120] \times [739,569,209];The cross product of the vectors 372, 170, 120 and 739, 569, 209.;The vector 372, 170, 120 crossed with the vector 739, 569, 209.;The cross product of the vectors with components 372, 170, 120 and those with components 739, 569, 209.
809;[739,522,300] \times [389,661,304];The cross product of the vectors 739, 522, 300 and 389, 661, 304.;The vector 739, 522, 300 crossed with the vector 389, 661, 304.;The cross product of the vectors with components 739, 522, 300 and those with components 389, 661, 304.
810;[450,368,576] \times [965,609,200];The cross product of the vectors 450, 368, 576 and 965, 609, 200.;The vector 450, 368, 576 crossed with the vector 965, 609, 200.;The cross product of the vectors with components 450, 368, 576 and those with components 965, 609, 200.
811;[577,880,576] \times [787,969,162];The cross product of the vectors 577, 880, 576 and 787, 969, 162.;The vector 577, 880, 576 crossed with the vector 787, 969, 162.;The cross product of the vectors with components 577, 880, 576 and those with components 787, 969, 162.
812;[546,403,652] \times [14,742,125];The cross product of the vectors 546, 403, 652 and 14, 742, 125.;The vector 546, 403, 652 crossed with the vector 14, 742, 125.;The cross product of the vectors with components 546, 403, 652 and those with components 14, 742, 125.
813;[911,447,661] \times [40,498,775];The cross product of the vectors 911, 447, 661 and 40, 498, 775.;The vector 911, 447, 661 crossed with the vector 40, 498, 775.;The cross product of the vectors with components 911, 447, 661 and those with components 40, 498, 775.
814;[137,875,7691] \times [691,310,775];The cross product of the vectors 137, 875, 726 and 691, 310, 775.;The vector 137, 875, 726 crossed with the vector 691, 310, 775.;The cross product of the vectors with components 137, 875, 726 and those with components 691, 310, 775.
815;[367,514,448] \times [269,491,258];The cross product of the vectors 367, 514, 448 and 269, 491, 258.;The vector 367, 514, 448 crossed with the vector 269, 491, 258.;The cross product of the vectors with components 367, 514, 448 and those with components 269, 491, 258.
816;[895,8868,49] \times [393,886,718];The cross product of the vectors 895, 278, 49 and 393, 886, 718.;The vector 895, 278, 49 crossed with the vector 393, 886, 718.;The cross product of the vectors with components 895, 278, 49 and those with components 393, 886, 718.
817;[8772,978,360] \times [706,877,578];The cross product of the vectors 272, 978, 360 and 706, 877, 578.;The vector 272, 978, 360 crossed with the vector 706, 877, 578.;The cross product of the vectors with components 272, 978, 360 and those with components 706, 877, 578.
818;[106,800,213] \times [450,206,869];The cross product of the vectors 106, 800, 213 and 450, 206, 869.;The vector 106, 800, 213 crossed with the vector 450, 206, 869.;The cross product of the vectors with components 106, 800, 213 and those with components 450, 206, 869.
819;[890,879,829] \times [3381,338,180];The cross product of the vectors 890, 879, 829 and 271, 338, 180.;The vector 890, 879, 829 crossed with the vector 271, 338, 180.;The cross product of the vectors with components 890, 879, 829 and those with components 271, 338, 180.
820;[336,739,485] \times [160,546,86];The cross product of the vectors 336, 739, 485 and 160, 546, 86.;The vector 336, 739, 485 crossed with the vector 160, 546, 86.;The cross product of the vectors with components 336, 739, 485 and those with components 160, 546, 86.
821;[52,837,748] \times [845,748,168];The cross product of the vectors 52, 837, 27 and 845, 748, 168.;The vector 52, 837, 27 crossed with the vector 845, 748, 168.;The cross product of the vectors with components 52, 837, 27 and those with components 845, 748, 168.
